Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 2,"Bad Tölz, Wallfahrtskirche Maria Hilf",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 25-27.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,25,27,Bad Tölz
Band 2,"Bad Tölz, Kreuzkirche auf dem Kalvarienberg",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 28-33.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,28,33,Bad Tölz
Band 2,"Bad Tölz, Stiegenkirche auf dem Kalvarienberg",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 33-35.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,33,35,Bad Tölz
Band 2,"Bairawies, Kapelle",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 36-37.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,36,37,Bairawies
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, ehem. Benediktinerabteikirche",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 38-63.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,38,63,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, Anastasiakapelle",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 64-69.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,64,69,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, ehem. Kapitelsaal",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 69-72.",,,X,,69,72,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, Zelle im Osttrakt",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 73.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,73,73,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, Alter Festsaal",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 73-93.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,73,93,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, ehem. Schlafzimmer",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 94-95.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,94,95,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, ehem. Zelle",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 96.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,96,96,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, Verbindungsgang",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 96-100.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,96,100,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, Treppenhaus des Südtrakts",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 100-102.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,100,102,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, Neuer Festsaal",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 103-111.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,103,111,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, ehem. Gästezimmer",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 111-115.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,111,115,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, ehem. Speisesaal",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 116-118.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,116,118,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, ehem. Sommerprälatur",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 119-122.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,119,122,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, ehem. Gastzimmer",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 123-124.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,123,124,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, ehem. Bibliothek",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 124-131.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,124,131,Benediktbeuern
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, Ökonomiehof",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 132.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,132,133,Benediktbeuern
Band 2,"Beuerberg, ehem. Augustinerchorherrenstift, Bruderschaftskapelle",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Beuerberg, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 134-136.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,134,136,Beuerberg
