Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 10,"Neuburg an der Donau, ehem. Bruderschaftshaus zur Schmerzhaften Muttergottes",0,Sakral,"Stadt Neuburg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.208-218.","Volk-Knüttel, Brigitte",,,,207,218,Neuburg an der Donau
Band 10,"Neuburg an der Donau, Schloss",0,Profan,"Stadt Neuburg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.219-229.","Volk-Knüttel, Brigitte",,,,219,229,Neuburg an der Donau
Band 11,"Baumburg, ehem. Stiftskirche St. Margareta",0,Sakral,"Baumburg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.21-44.","Bauer-Wild, Anna",,,,21,44,Baumburg
Band 11,"Klosterseon, ehem. Benediktinerabtei Seon",0,Sakral,"Klosterseon, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.91-105.","Bauer-Wild, Anna",,,,91,105,Klosterseon
Band 11,"Ruhpolding, Pfarrkirche St. Georg",0,Sakral,"Ruhpolding, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.111-123.","Bauer-Wild, Anna",,,,111,123,Ruhpolding
Band 11,"Höglwörth, ehem. Stiftskirche der ehem. Augustiner-Chorherrenstifts",0,Sakral,"Höglwörth, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.217-231.","Bauer-Wild, Anna",,,,217,231,Höglwörth
"Band 12, I","Altenhohenau, Dominikanerinnenkloster",0,Sakral,"Altenhohenau, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 1 Aising bis Hohenaschau, München 2006, S.31-55.",?,,,,31,55,Altenhohenau
"Band 12, I","Herrenchiemsee, ehem. Augustiner-Chorherrenstift",0,Sakral,"Herrenchiemsee, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 1 Aising bis Hohenaschau, München 2006, S.187-252.","Bauer-Wild, Anna / Sinkel, Kristin",,,,187,252,Herrenchiemsee
"Band 12, II","Lampferding, Kuratiekirche Mariä Himmelfahrt",0,Sakral,"Lampferding, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.335-342.","Sauerländer, Brigitte",,,,335,342,Lampferding
"Band 12, II","Rott am Inn, ehem. Benediktinerabtei",0,Sakral,"Rott am Inn, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd.12: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis Rosenheim, Teil 2 Jakobsberg bis Windhag, München 2006, S.433-461.","Bauer-Wild, Anna",,,,433,461,Rott am Inn
Band 13,"Eichstätt, Semiar- und Universitätskirche des ehem. Jesuitenkollegs, sog. Schutzengelkirche",0,Sakral,"Eichstätt, Schutzengelkirche, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 13: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.123-153.","Bauer-Wild, Anna",,,,123,153,Eichstätt
Band 13,"Eichstätt, ehem. Domkapitelstuben",0,Sakral,"Eichstätt, Domkapitelstuben, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 13: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.233-240.","Grimminger, Christina",,,,233,240,Eichstätt
Band 13,"Rebdorf, ehem. Augustiner-Chorherrenstift",0,Sakral,"Rebdorf, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 13: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.391-424.","Grimminger, Christina",,,,391,424,Rebdorf
